index	project_slug	role	width_px	height_px	response_format	bytes	audited_on	http_status	quality_assessment	crop_assessment	future_action	url
089	edge-house	gallery-5	2000	1126	jpeg	239396	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/SkyLounge2.jpg
090	edge-house	gallery-6	1440	926	jpeg	177982	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/Lounge.jpg
091	edge-house	gallery-7	2000	1125	jpeg	264261	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/21_Edge-House-Treatment-Room.webp
092	edge-house	gallery-8	1638	1037	jpeg	194112	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/EDGE%20HOUSE/Residence2.jpg
093	ella-miami	gallery-1	1728	976	jpeg	395300	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/ella-miami-beach-03.jpg?updatedAt=1757212992581
094	ella-miami	gallery-2	1728	976	jpeg	349000	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/ella-miami-beach-07.jpg?updatedAt=1757212992507
095	ella-miami	gallery-3	1920	1080	jpeg	315915	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/Gtd1LINg.jpeg
096	ella-miami	gallery-4	2000	1182	jpeg	512547	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/1X7YlYjw.jpeg
097	ella-miami	gallery-5	1728	976	jpeg	395512	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/ella-miami-beach-08.jpg?updatedAt=1757212992563
098	ella-miami	gallery-6	1080	1080	jpeg	257623	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/ella-miami-beach-01.jpg?updatedAt=1757212991986
099	ella-miami	gallery-7	1280	853	jpeg	145286	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/G4m3fvVQ.jpeg?updatedAt=1757212991597
100	ella-miami	gallery-8	1280	853	jpeg	139667	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/ELLA-Miami/hh6lcwuQ.jpeg?updatedAt=1757212991625
101	elle-residences-edgewater	cover	1280	848	jpeg	237480	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Elle%20Residences/Elle%20Residences%20Miami%2008.jpg
102	elle-residences-edgewater	gallery-1	1280	853	jpeg	150869	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/1.jpeg
103	elle-residences-edgewater	gallery-2	1600	800	jpeg	234284	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/2.jpeg
104	elle-residences-edgewater	gallery-3	1280	905	jpeg	233277	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/3.jpeg
105	elle-residences-edgewater	gallery-4	1600	899	jpeg	237498	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/4.jpeg
106	elle-residences-edgewater	gallery-5	1280	877	jpeg	207231	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/5.jpeg
107	elle-residences-edgewater	gallery-6	800	800	jpeg	93882	2026-07-12	200	Resolution limited for flexible web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/6.jpeg
108	elle-residences-edgewater	gallery-7	1280	960	jpeg	171751	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/7.jpeg
109	elle-residences-edgewater	gallery-8	800	800	jpeg	60057	2026-07-12	200	Resolution limited for flexible web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Elle%20Residences/8.jpeg
110	faena	cover	2000	1081	jpeg	331015	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Faena/dT-Dx4lg.jpeg
111	faena	gallery-1	2000	1145	jpeg	400301	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/-oBqAd-w.jpeg
112	faena	gallery-2	2048	1242	jpeg	581291	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/3_ypp2Dg.jpeg
113	faena	gallery-3	2048	1281	jpeg	600753	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/SJGaLFeQ.jpeg
114	faena	gallery-4	1600	1067	jpeg	383659	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/pQnVS2uQ.jpeg
115	faena	gallery-5	2048	1204	jpeg	340327	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/rXcPduug.jpeg
116	faena	gallery-6	2048	1152	jpeg	341012	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/mSEtdNnw.jpeg
117	faena	gallery-7	1600	1066	jpeg	224351	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/LlSqs7nA.jpeg
118	faena	gallery-8	1600	1203	jpeg	184804	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Faena/abbIlMwQ.jpeg
119	flow-house	gallery-1	1280	800	jpeg	278072	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/1.jpg
120	flow-house	gallery-2	2560	1440	jpeg	590333	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/2.jpg
121	flow-house	gallery-3	4000	2000	jpeg	1416086	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/3.jpg
122	flow-house	gallery-4	4000	2250	jpeg	2291246	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/4.jpg
123	flow-house	gallery-5	4000	2250	jpeg	1566083	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/6.jpg
124	flow-house	gallery-6	1140	641	jpeg	114407	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/7.jpg
125	flow-house	gallery-7	4000	2249	jpeg	1217063	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/8.jpg
126	flow-house	gallery-8	1000	600	jpeg	97830	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Flow%20House/5.jpg
127	frida-kahlo	cover	1200	800	jpeg	152115	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Frida%20Khalo/1(1).jpg
128	frida-kahlo	gallery-1	1200	800	jpeg	200236	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/Untitled%20design%20(16).jpg
129	frida-kahlo	gallery-2	1200	800	jpeg	101839	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/2ds.jpg
130	frida-kahlo	gallery-3	1200	800	jpeg	108050	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/3(1).jpg
131	frida-kahlo	gallery-4	1200	800	jpeg	90384	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/4(1).jpg
132	frida-kahlo	gallery-5	1200	800	jpeg	96840	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/5(1).jpg
133	frida-kahlo	gallery-6	1200	800	jpeg	113228	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/6(1).jpg
134	frida-kahlo	gallery-7	1200	800	jpeg	87264	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/7(1).jpg
135	frida-kahlo	gallery-8	1200	800	jpeg	82904	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Frida%20Khalo/8(1).jpg
136	gaia	cover	1280	1027	jpeg	281832	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Gaia%20Residences/ymdwzF9g.jpeg
137	gaia	gallery-1	1600	900	jpeg	218390	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/JdYl62qQ.jpeg
138	gaia	gallery-2	1600	900	jpeg	190918	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/RLZT2qMQ.jpeg
139	gaia	gallery-3	1600	900	jpeg	305436	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/nmK_B4Sw.jpeg
140	gaia	gallery-4	1280	853	jpeg	181072	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/6kzJnggQ.jpeg
141	gaia	gallery-5	1600	900	jpeg	270349	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/yAkYTngw.jpeg
142	gaia	gallery-6	1600	900	jpeg	236414	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/Ba1678xw.jpeg
143	gaia	gallery-7	1600	900	jpeg	187144	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/EjjF2_cA.jpeg
144	gaia	gallery-8	1280	853	jpeg	118537	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Gaia%20Residences/5R4NzwtQ.jpeg
145	jean-georges	cover	1976	896	jpeg	150299	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Jean%20Georges/1.jpg
146	jean-georges	gallery-1	1984	1344	jpeg	338726	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/2.jpg
147	jean-georges	gallery-2	1974	1342	jpeg	212764	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/3-2.jpg
148	jean-georges	gallery-3	1978	1344	jpeg	242175	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/4.jpg
149	jean-georges	gallery-4	1976	1150	jpeg	213588	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/5.jpg
150	jean-georges	gallery-5	2318	1282	jpeg	285400	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/6.jpg
151	jean-georges	gallery-6	1972	1342	jpeg	167678	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/7.jpg
152	jean-georges	gallery-7	1976	1344	jpeg	216926	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/8.jpg
153	jean-georges	gallery-8	1976	1336	jpeg	201921	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Jean%20Georges/9.jpg
154	midtown-park	cover	1024	1024	jpeg	233555	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Midtown%20Park/ca7LMYAw.jpeg
155	midtown-park	gallery-1	1280	853	jpeg	265841	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/vdFMgVgA.jpeg
156	midtown-park	gallery-2	1280	989	jpeg	200022	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/75OtJzHQ.jpeg
157	midtown-park	gallery-3	1600	1035	jpeg	226195	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/NfINBDkA.jpeg
158	midtown-park	gallery-4	800	1000	jpeg	157105	2026-07-12	200	Resolution limited for flexible web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/wWNfYD-A.jpeg
159	midtown-park	gallery-5	1280	942	jpeg	165683	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/e4T70bAA.jpeg
160	midtown-park	gallery-6	1600	900	jpeg	192651	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/WQ2gvs1w.jpeg
161	midtown-park	gallery-7	1600	1067	jpeg	222664	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/DO-mYfRg.jpeg
162	midtown-park	gallery-8	1024	1024	jpeg	117423	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Midtown%20Park/DKO5KMKQ.jpeg
163	millenia-park	cover	2048	1162	jpeg	661832	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Millenia%20Park/chvfJiMA.jpeg
164	millenia-park	gallery-1	1885	1060	jpeg	431506	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millenia%20Park/fzQRPVlg.jpeg
165	millenia-park	gallery-2	1885	1060	jpeg	406580	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millenia%20Park/jy_6GXzg.jpeg
166	millenia-park	gallery-3	1600	1231	jpeg	227904	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millenia%20Park/Uxvpfdmg.jpeg
167	millenia-park	gallery-4	1885	1060	jpeg	361100	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millenia%20Park/fKoXigmg.jpeg
168	millux	cover	800	1066	jpeg	169971	2026-07-12	200	Resolution limited for flexible web use; editorial relevance and rights unconfirmed	Portrait; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/Millux/i7490rzQ.jpeg
169	millux	gallery-1	2048	1152	jpeg	284397	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/giGN-7TQ.jpeg
170	millux	gallery-2	2048	1152	jpeg	387282	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/zwY1QyXg.jpeg
171	millux	gallery-3	2048	1152	jpeg	469496	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/hc2KyU_w.jpeg
172	millux	gallery-4	2048	1152	jpeg	394634	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/TjuvhOmA.jpeg
173	millux	gallery-5	2048	1153	jpeg	282932	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/QAObnYYw.jpeg
174	millux	gallery-6	2048	1152	jpeg	233363	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/K8fWIOVw.jpeg
175	millux	gallery-7	2048	1152	jpeg	235515	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/yjFef2Rw.jpeg
176	millux	gallery-8	2048	1152	jpeg	250348	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Millux/PXfWcs5A.jpeg
177	nexo	cover	2048	1565	jpeg	458403	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/1-2-2.jpg
178	nexo	gallery-1	2048	1152	jpeg	305045	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Nexo/1-2.jpg
179	nexo	gallery-2	2048	1463	jpeg	427068	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Nexo/1-3.jpg
180	nexo	gallery-3	2048	1297	jpeg	239315	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Nexo/1-4.jpg
181	nexo	gallery-4	2048	1463	jpeg	423742	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Nexo/1-5.jpg
182	nexo	gallery-5	2048	1152	jpeg	280686	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Nexo/1-6.jpg
183	nexo	gallery-6	2048	1365	jpeg	396415	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/Nexo/1-7.jpg
